API,Count
chrome.message.updateMomentaryTopic, 1
chrome.message.topicsState, 1
chrome.message.topics, 1
chrome.message.topicFileChanged, 1
chrome.message.topicDeactivated, 1
chrome.message.topicCreated, 1
chrome.message.topicActivated, 1
chrome.message.toggleOnOff, 1
chrome.message.stopspeak, 1
chrome.message.speechRecognitionProgress, 1
chrome.message.speechRecognitionEnd, 1
chrome.message.speechRecognition, 1
chrome.message.speak, 1
chrome.message.settings, 1
chrome.message.setActiveTopics, 1
chrome.message.scheduleSpeak, 1
chrome.message.rewordify, 1
chrome.message.restartGuesses, 1
chrome.message.replaceText, 1
chrome.message.removePersonalWords, 1
chrome.message.reloadDictionaries, 1
chrome.message.recentTopics, 1
chrome.message.quickTopic, 1
chrome.message.ping, 1
chrome.message.onRemovePersonalWords, 1
chrome.message.onQuickTopic, 1
chrome.message.onAddPersonalWords, 1
chrome.message.ocr, 1
chrome.message.maxGuesses, 1
chrome.message.mainDictionary, 1
chrome.message.imeActivationChanged, 1
chrome.message.guessesAvailable, 1
chrome.message.guessSelected, 1
chrome.message.getTopicsState, 1
chrome.message.getTopics, 1
chrome.message.getRecentTopics, 1
chrome.message.getContextForMomentaryTopic, 1
chrome.message.getActiveTopics, 1
chrome.message.followTextChange, 1
chrome.message.engineReady, 1
chrome.message.enablePredictAhead, 1
chrome.message.enableMomentaryTopic, 1
chrome.message.enableGrammar, 1
chrome.message.enableFlexibleSpelling, 1
chrome.message.documentReady, 1
chrome.message.dictionariesReloaded, 1
chrome.message.deactivateTopic, 1
chrome.message.deactivate, 1
chrome.message.createWikiTopic, 1
chrome.message.createTopic, 1
chrome.message.createQuickTopic, 1
chrome.message.contextForMomentaryTopicAvailable, 1
chrome.message.contextAvailable, 1
chrome.message.changeUserStorage, 1
chrome.message.addPersonalWords, 1
chrome.message.activeTopicsSet, 1
chrome.message.activeTopics, 1
chrome.message.activateTopics, 1
chrome.message.activateTopic, 1
chrome.message.activate, 1
chrome.message.accumulateData, 1
chrome.message.acceptGuess, 1
chrome.meetin.gs, 1
chrome.mdns.onServiceList, 1
chrome.mdns.forceDiscovery, 1
chrome.manifest.inc, 1
chrome.manifest.homepage_url, 1
chrome.manifest.default_locale, 1
chrome.management.setLaunchType, 1
chrome.management.launchOption, 1
chrome.management.hasOwnProperty, 1
chrome.management.getSelfAsync, 1
chrome.management.getPermissionWarningsByManifest, 1
chrome.management.getAllAsync, 1
chrome.management.generateAppForLink, 1
chrome.logout.call, 1
chrome.log.call, 1
chrome.location.watchLocation, 1
chrome.location.onLocationUpdate, 1
